dynamic_family_id,n,fraction,top_structural_mode,top_structural_mode_fraction,eta20_median,eta50_median,tau_transfer_est_median,residence_sink34_0_10ps_median,residence_detour567_0_10ps_median,loss_50ps_median
D000,8353,0.1347258064516129,S002,0.1606608404166168,0.1302541047334671,0.3115845918655395,24.06619453430176,0.1936416327953338,0.2214367091655731,0.0409157089889049
D001,7328,0.1181935483870967,S002,0.1653930131004367,0.1352364122867584,0.3261306285858154,24.28528594970703,0.0385219454765319,0.4197286814451217,0.0405763052403926
D002,6172,0.0995483870967741,S002,0.0823071937783538,0.6267126202583313,0.8854177892208099,14.897539138793944,0.1425937265157699,0.2645209729671478,0.018579370342195
D003,5924,0.0955483870967742,S001,0.0568872383524645,0.8232322335243225,0.9447440505027772,8.934656143188477,0.1130858175456523,0.1868769973516464,0.0110163972713053
D004,5388,0.0869032258064516,S002,0.1256495916852264,0.4341268539428711,0.7340090274810791,18.94225025177002,0.0578135587275028,0.366056740283966,0.0263096122071146
D005,5236,0.0844516129032258,S002,0.1974789915966386,0.0826422162353992,0.250652477145195,27.035408973693848,0.0119620719924569,0.0353620667010545,0.043130986392498
D006,4798,0.0773870967741935,S002,0.161108795331388,0.2760495096445083,0.5989130735397339,22.91915512084961,0.0346632786095142,0.1085098758339881,0.0328717641532421
D007,4309,0.0695,S002,0.164771408679508,0.092847354710102,0.2369693219661712,24.819351196289062,0.035728421062231,0.2520495355129242,0.043005384504795
D008,3915,0.0631451612903225,S002,0.1157088122605363,0.3558167517185211,0.6554339528083801,20.231842041015625,0.0846644788980484,0.2260396033525467,0.0296926908195018
D009,3857,0.0622096774193548,S000,0.1980814104226082,0.9051913619041444,0.9677554965019226,5.675300598144531,0.1116803735494613,0.1257462054491043,0.0070089357905089
D010,3265,0.0526612903225806,S002,0.0909647779479326,0.7828850150108337,0.9472475051879884,11.284065246582031,0.0942429304122924,0.167659044265747,0.013176460750401
D011,2537,0.0409193548387096,S002,0.1064249113125739,0.5531505346298218,0.8627052307128906,17.36486053466797,0.0555844604969024,0.1100906953215599,0.0213068779557943
D012,918,0.0148064516129032,S000,0.4150326797385621,0.9283630847930908,0.9742996692657472,4.296602249145508,0.1062781438231468,0.0922335386276245,0.0054014071356505
